Epsilon,RS30
0.0,0.9870000000000003
0.025,0.9833000000000002
0.05,0.9797999999999998
0.07500000000000001,0.9755999999999998
0.1,0.9692999999999994
0.125,0.9632000000000002
0.15000000000000002,0.9558
0.17500000000000002,0.9462999999999999
0.2,0.9349000000000002
0.225,0.9217000000000004
0.25,0.9027999999999998
0.275,0.8808000000000004
0.30000000000000004,0.8306000000000001
0.325,0.1377
0.35000000000000003,0.0001
0.375,0.0
0.4,0.0
0.42500000000000004,0.0
0.45,0.0
0.47500000000000003,0.0
0.5,0.0
0.525,0.0
0.55,0.0
0.5750000000000001,0.0
0.6000000000000001,0.0
0.625,0.0
0.65,0.0
0.675,0.0
0.7000000000000001,0.0
0.7250000000000001,0.0
0.75,0.0
0.775,0.0
0.8,0.0
