model_key,variant_name,mode,beta,epsilon,accuracy,mean_ce_loss,num_samples,mean_m_pred,frac_m_pred_positive,mean_m_proto,frac_m_proto_positive,mean_R_enc,mean_R_dec,mean_m_proto_used,frac_m_proto_used_positive,mean_m_proto_mu,frac_m_proto_mu_positive,mean_sigma_mean_all,mean_sigma_median_all,mean_sigma_min_correct_mu,mean_sigma_min_wrong_mu,mean_mu_mae_clamped_sample,mean_target_saturation_rate_sample,apmsr,apmsr_false_match_count,apmsr_suppressed_count,false_match_rate_mu,suppressed_rate_all,risk_harm_count,risk_harm_rate_all,risk_harm_rate_on_mu_correct
B30-FT-E-M,B30-FT-E-M__det,deterministic,,0.0,0.9838,0.0529567152261734,10000,0.19651608169078827,0.9838,0.5279922485351562,0.9832,0.0,0.0,0.77852463722229,0.9832,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0,0.0,0.0,0,0.0,0.0
B30-FT-E-M,B30-FT-E-M__det,deterministic,,0.02500000037252903,0.981,0.0651823952794075,10000,0.1910821795463562,0.981,0.5124214887619019,0.9807,0.01631297543644905,0.1979070007801056,0.7612563371658325,0.9807,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0,0.0,0.0,0,0.0,0.0
B30-FT-E-M,B30-FT-E-M__det,deterministic,,0.05000000074505806,0.9755,0.07878639549016953,10000,0.185686394572258,0.9755,0.49698328971862793,0.9749,0.03141486272215843,0.36969447135925293,0.7437106966972351,0.9749,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0,0.0,0.0,0,0.0,0.0
B30-FT-E-M,B30-FT-E-M__det,deterministic,,0.07500000298023224,0.9705,0.09356538951396942,10000,0.18039585649967194,0.9705,0.4817942976951599,0.9705,0.04564409330487251,0.5259562134742737,0.7260607481002808,0.9705,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0,0.0,0.0,0,0.0,0.0
B30-FT-E-M,B30-FT-E-M__det,deterministic,,0.10000000149011612,0.9653,0.10961443185806274,10000,0.1750231385231018,0.9653,0.466443806886673,0.965,0.059246473014354706,0.6684109568595886,0.7078603506088257,0.965,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0,0.0,0.0,0,0.0,0.0
B30-FT-E-M,B30-FT-E-M__det,deterministic,,0.125,0.9603,0.12729810178279877,10000,0.16958001255989075,0.9603,0.4510882794857025,0.9597,0.07242485135793686,0.8020676374435425,0.689180850982666,0.9597,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0,0.0,0.0,0,0.0,0.0
B30-FT-E-M,B30-FT-E-M__det,deterministic,,0.15000000596046448,0.9542,0.14754319190979004,10000,0.16433387994766235,0.9542,0.4361376464366913,0.9538,0.08492583781480789,0.9253125190734863,0.6707237362861633,0.9538,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0,0.0,0.0,0,0.0,0.0
B30-FT-E-M,B30-FT-E-M__det,deterministic,,0.17499999701976776,0.9481,0.16812936961650848,10000,0.15883837640285492,0.9481,0.4204264283180237,0.9472,0.0972616970539093,1.0435315370559692,0.651089072227478,0.9472,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0,0.0,0.0,0,0.0,0.0
B30-FT-E-M,B30-FT-E-M__det,deterministic,,0.20000000298023224,0.9411,0.19018371403217316,10000,0.1538800597190857,0.9411,0.4067249894142151,0.9413,0.10872352123260498,1.1493608951568604,0.6333667039871216,0.9413,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0,0.0,0.0,0,0.0,0.0
B30-FT-E-M,B30-FT-E-M__det,deterministic,,0.22499999403953552,0.9338,0.21157121658325195,10000,0.14849084615707397,0.9338,0.39175328612327576,0.9317,0.11988212913274765,1.2491052150726318,0.6139766573905945,0.9317,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0,0.0,0.0,0,0.0,0.0
B30-FT-E-M,B30-FT-E-M__det,deterministic,,0.25,0.9248,0.23945464193820953,10000,0.14322039484977722,0.9248,0.37663209438323975,0.9235,0.1314152330160141,1.3477113246917725,0.5939623713493347,0.9235,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0,0.0,0.0,0,0.0,0.0
B30-FT-E-M,B30-FT-E-M__det,deterministic,,0.2750000059604645,0.9143,0.2697692811489105,10000,0.13736699521541595,0.9143,0.3608449101448059,0.914,0.14280468225479126,1.4501562118530273,0.5723556280136108,0.914,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0,0.0,0.0,0,0.0,0.0
B30-FT-E-M,B30-FT-E-M__det,deterministic,,0.30000001192092896,0.9028,0.30341511964797974,10000,0.13112129271030426,0.9028,0.34374114871025085,0.9022,0.15481556951999664,1.550685167312622,0.548719048500061,0.9022,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0,0.0,0.0,0,0.0,0.0
